ID,Age,Sex
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar057,5,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar056,5,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar052,5,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar051,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar050,5,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar049,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar048,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar047,5,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar046,5,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar045,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar040,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar039,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar038,5,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar037,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar036,5,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar055,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar054,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar053,5,M
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0010,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar035,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar034,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar033,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar032,5,F
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29217,6,F
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29214,6,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29225,6,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29223,6,M
7fa47393-956b-454e-8ae5-b669b255bf74_sub-29907,6,M
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0026,6,F
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-34,6,M
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-33,6,F
