ID,Modality
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0093,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0094,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0102,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0101,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON55820,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-22,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0100,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0320,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-21,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0099,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-16,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-20,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0097,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-19,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON54886,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0096,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-18,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0321,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0095,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-17,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0098,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-36,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON41090,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0037,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0377,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON08571,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0378,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON08392,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0379,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON08155,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON07392,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0380,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON06910,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0381,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON05530,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0382,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON05311,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0383,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON05258,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON03748,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0384,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON08792,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0376,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON09474,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON10965,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON21834,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0367,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON18047,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0368,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON13986,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0369,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON13545,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0370,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON02811,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON12688,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON12666,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0372,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON11411,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0373,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON11394,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0374,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON11111,Arterial Spin Labeling
